host_time_s,t_ms,ax1,ay1,az1,roll1,pitch1,yaw1,gx1,gy1,gz1,ax2,ay2,az2,roll2,pitch2,yaw2,gx2,gy2,gz2,emg1,emg2
1772397821.969517,7578228,-0.02,0.09,0.02,-162.25,-76.19,255.31,-3.00,2.12,1.25,-0.04,-0.02,0.02,131.31,-71.19,129.81,1.37,0.75,0.50,2,2
1772397821.970922,7578269,0.00,0.20,-0.01,-162.12,-76.12,255.19,-1.31,2.06,0.88,0.04,-0.02,-0.09,131.37,-71.19,129.75,-0.62,-0.44,1.31,3,2
1772397821.971792,7578310,0.20,0.13,-0.03,-162.19,-76.00,255.12,-0.37,1.69,-0.56,0.06,-0.07,-0.13,131.56,-71.25,129.69,-1.50,-0.50,1.50,3,2
1772397821.972602,7578353,0.05,0.17,0.02,-162.37,-76.00,255.19,0.13,-0.25,-1.50,0.10,0.00,-0.19,131.69,-71.31,129.56,-0.94,-0.13,1.12,3,3
1772397821.973327,7578393,-0.02,0.05,0.07,-162.81,-76.00,255.37,3.25,0.81,-1.81,0.10,0.01,-0.15,131.81,-71.31,129.50,-0.19,-0.88,1.06,3,3
1772397821.974141,7578434,-0.05,-0.06,0.04,-163.25,-76.00,255.62,4.25,1.75,-1.75,0.04,-0.03,-0.07,131.87,-71.37,129.44,-1.25,-1.75,1.06,3,4
1772397821.974869,7578474,-0.10,-0.11,0.06,-163.75,-75.94,255.81,2.00,1.75,-1.62,0.04,0.00,-0.14,131.87,-71.44,129.31,-0.44,-1.62,1.31,3,4
1772397821.975766,7578514,0.11,-0.05,0.05,-163.87,-75.94,255.87,-0.50,-4.31,0.00,0.08,-0.06,-0.08,131.87,-71.50,129.25,0.62,-1.56,1.56,3,4
1772397821.976462,7578553,-0.52,0.00,0.07,-163.50,-76.12,255.81,-1.56,-4.12,0.81,0.01,0.01,-0.07,131.81,-71.56,129.25,1.75,-1.75,1.87,3,4
1772397821.977083,7578593,0.06,0.01,-0.06,-163.56,-76.06,255.81,0.06,3.06,0.19,0.01,0.02,-0.05,131.69,-71.69,129.25,1.94,-2.19,1.75,3,4
1772397821.977697,7578634,-0.23,0.05,-0.08,-163.69,-75.94,255.81,0.75,5.50,0.44,-0.06,0.04,-0.02,131.62,-71.75,129.25,-0.06,-2.50,1.62,3,3
1772397821.978365,7578675,0.53,-0.12,-0.16,-164.12,-75.56,255.87,1.87,11.06,-0.31,-0.02,0.00,0.00,131.50,-71.87,129.06,-2.12,-2.62,0.69,3,3
1772397821.978974,7578715,0.25,0.00,-0.07,-164.44,-75.37,255.81,-1.50,4.94,-0.56,0.07,0.00,-0.09,131.44,-71.94,128.94,-0.62,-0.69,0.75,2,3
1772397821.979512,7578755,0.63,-0.02,-0.11,-164.56,-75.19,255.75,-1.00,5.06,0.19,0.09,-0.10,-0.13,131.44,-71.94,128.94,1.06,0.19,0.19,2,2
1772397821.980040,7578796,-0.10,0.15,0.01,-164.25,-75.19,255.62,-0.94,-3.00,2.50,0.04,-0.12,-0.04,131.44,-71.94,129.00,1.06,-0.06,-0.13,3,2
1772397821.980522,7578837,0.10,0.05,-0.02,-163.81,-75.19,255.56,0.25,0.44,2.44,0.03,-0.07,-0.06,131.37,-71.87,129.12,1.25,0.31,-0.13,3,2
1772397821.980954,7578879,0.20,0.12,0.01,-163.50,-75.12,255.44,-0.13,1.25,1.87,-0.01,0.00,-0.06,131.31,-71.87,129.19,2.56,0.94,0.00,3,2
1772397821.981385,7578923,-0.02,0.19,0.04,-163.37,-75.12,255.37,0.94,0.19,1.06,0.00,0.00,-0.07,131.25,-71.87,129.31,2.12,-0.19,-0.19,3,2
1772397821.981811,7578964,0.03,0.00,0.01,-163.37,-75.06,255.44,3.19,2.75,0.06,0.00,0.03,0.04,131.19,-71.87,129.31,-0.94,-1.69,-0.25,3,2
1772397821.982247,7579003,-0.19,-0.07,-0.02,-163.81,-74.94,255.69,2.81,5.62,-0.88,0.01,0.05,0.00,131.12,-71.94,129.19,-3.19,-1.25,-0.06,3,2
1772397821.982684,7579044,0.12,-0.08,-0.05,-164.19,-74.69,255.75,1.87,8.13,0.31,0.08,-0.02,-0.16,131.25,-71.94,129.12,-0.75,0.31,-0.06,3,1
1772397821.983115,7579086,0.10,-0.03,-0.04,-164.37,-74.37,255.75,0.56,5.12,1.31,0.06,-0.08,-0.13,131.31,-71.94,129.12,0.94,0.62,0.00,3,2
1772397821.983586,7579127,0.16,-0.05,0.01,-164.37,-74.19,255.69,-0.19,3.94,1.50,0.04,-0.08,-0.08,131.31,-71.87,129.19,-0.25,0.69,0.19,3,2
1772397821.984104,7579167,0.08,0.04,0.02,-164.19,-74.06,255.56,-1.56,1.37,1.19,0.06,-0.02,-0.16,131.37,-71.87,129.19,1.25,1.44,-0.19,3,3
1772397821.984576,7579206,0.02,0.20,0.09,-164.12,-74.00,255.44,-0.56,1.31,1.25,0.02,-0.02,-0.13,131.44,-71.81,129.31,2.44,0.44,-0.25,3,3
1772397821.985022,7579245,-0.10,0.10,0.04,-164.06,-73.94,255.44,2.31,1.56,0.94,0.05,-0.02,-0.01,131.31,-71.81,129.37,0.81,-1.44,-0.50,2,3
1772397821.985467,7579287,-0.11,-0.05,0.04,-164.19,-73.81,255.56,2.69,3.69,0.37,-0.05,0.01,0.04,131.19,-71.87,129.37,-1.31,-1.75,-0.06,2,3
1772397821.985898,7579327,0.06,-0.08,-0.02,-164.44,-73.62,255.62,0.75,6.25,0.13,0.05,0.00,-0.04,131.06,-71.94,129.31,-0.56,-1.12,0.37,2,3
1772397821.986302,7579368,0.10,0.09,-0.03,-164.62,-73.37,255.56,-1.00,6.25,0.75,0.00,-0.03,-0.10,131.06,-71.94,129.25,0.62,0.19,0.94,3,4
1772397821.986681,7579408,0.16,0.07,0.00,-164.69,-73.19,255.50,0.56,5.19,1.06,0.05,-0.04,-0.11,131.06,-71.94,129.25,0.19,-0.88,0.75,4,4
1772397821.987055,7579448,0.10,0.07,-0.01,-164.75,-73.00,255.50,1.00,3.81,1.06,0.07,-0.01,-0.10,131.00,-72.00,129.19,0.00,-1.37,1.00,4,5
1772397821.987430,7579489,0.08,0.05,0.00,-164.75,-72.87,255.50,1.25,2.37,0.81,0.05,-0.07,-0.05,130.94,-72.06,129.19,1.19,-0.94,1.12,4,5
1772397821.987796,7579529,0.06,0.10,0.00,-164.81,-72.81,255.56,0.50,2.25,0.25,0.01,-0.07,-0.05,130.94,-72.12,129.19,0.75,-0.88,1.31,5,5
1772397821.988177,7579569,-0.10,0.07,-0.03,-164.94,-72.75,255.56,1.19,1.75,-0.69,-0.05,0.04,-0.01,130.94,-72.19,129.06,-1.69,-1.44,0.44,5,5
1772397821.988554,7579609,0.03,0.00,-0.05,-165.19,-72.62,255.69,1.75,3.94,-0.81,0.00,0.05,-0.10,130.94,-72.25,129.00,-0.69,-1.44,0.44,5,6
1772397821.988929,7579649,0.04,-0.03,-0.01,-165.56,-72.50,255.81,2.69,4.00,-0.81,0.05,-0.06,-0.09,130.81,-72.25,129.00,1.19,-1.56,0.19,5,6
1772397821.989327,7579690,-0.02,-0.07,0.04,-165.69,-72.31,255.94,2.62,3.81,1.75,0.05,-0.05,0.00,130.56,-72.31,129.00,-0.44,-2.44,0.50,6,6
1772397821.989710,7579730,0.04,-0.05,0.00,-165.62,-72.12,255.87,1.31,5.19,2.56,0.02,-0.12,-0.11,130.44,-72.37,128.94,-0.13,-2.44,0.94,6,6
1772397821.990104,7579770,0.00,0.02,0.06,-165.50,-71.87,255.81,0.06,6.12,2.12,0.04,0.00,-0.10,130.31,-72.50,128.81,0.44,-2.69,1.75,5,6
1772397821.990471,7579809,0.06,0.03,0.01,-165.50,-71.62,255.69,0.19,5.81,1.12,0.06,0.02,-0.11,130.19,-72.62,128.75,-0.31,-2.81,2.12,6,6
1772397821.990839,7579848,0.10,0.00,0.02,-165.56,-71.37,255.62,-0.06,6.31,0.94,0.07,-0.02,-0.14,130.12,-72.75,128.62,-0.13,-2.50,2.06,6,6
1772397821.991208,7579890,0.14,0.03,-0.03,-165.62,-71.19,255.56,-0.37,4.81,0.62,0.06,-0.05,-0.18,130.06,-72.87,128.50,0.44,-2.44,2.12,6,6
1772397821.991579,7579930,0.14,0.05,-0.04,-165.69,-71.06,255.56,-0.19,2.75,0.31,0.03,0.00,-0.10,130.00,-73.00,128.44,0.94,-2.25,1.94,5,6
1772397821.991950,7579971,0.07,0.04,-0.06,-165.75,-71.00,255.56,-0.06,0.50,-0.06,-0.01,-0.01,-0.01,129.87,-73.12,128.31,0.00,-2.81,1.87,5,6
1772397821.992289,7580010,0.06,0.02,-0.07,-165.75,-71.00,255.56,0.13,1.12,0.31,0.01,-0.01,0.01,129.75,-73.25,128.25,-0.37,-2.19,1.94,5,6
1772397821.992615,7580049,0.03,0.09,-0.06,-165.81,-70.94,255.06,-0.37,1.06,0.31,-0.02,0.00,0.01,129.69,-73.37,128.12,-0.31,-2.19,2.00,5,6
1772397821.992953,7580090,0.04,0.09,-0.05,-165.87,-70.87,255.06,0.06,3.19,-0.31,0.00,0.03,-0.02,129.69,-73.50,128.06,-0.75,-1.62,2.06,5,6
1772397821.993277,7580131,0.07,0.15,-0.06,-165.94,-70.75,254.87,0.94,3.12,-0.44,-0.04,0.02,-0.11,129.75,-73.56,127.94,-0.75,-1.25,2.31,5,6
1772397821.993677,7580171,0.12,0.00,-0.01,-166.25,-70.62,254.81,2.94,2.81,-1.37,0.04,-0.07,-0.13,129.75,-73.69,127.81,-0.13,-2.00,1.69,5,6
1772397821.994066,7580210,0.19,-0.01,-0.02,-166.44,-70.56,255.00,2.06,1.50,-0.31,0.20,-0.08,-0.13,129.69,-73.75,127.75,1.00,-1.50,1.25,5,6
1772397822.019348,7580249,0.11,0.00,-0.05,-166.56,-70.56,255.00,1.37,0.25,0.31,0.04,-0.08,-0.04,129.62,-73.81,127.75,1.56,-0.62,0.88,5,6
1772397822.060931,7580291,0.05,0.01,-0.05,-166.50,-70.56,255.00,0.69,0.13,0.81,0.03,-0.06,0.00,129.62,-73.87,127.81,0.37,-0.13,1.06,5,6
1772397822.101861,7580331,-0.03,0.05,-0.10,-166.50,-70.50,254.69,-0.62,1.31,0.00,-0.02,-0.02,-0.01,129.75,-73.87,127.75,1.06,1.75,0.37,5,6
1772397822.141993,7580372,0.12,0.27,-0.15,-166.50,-70.44,254.44,-0.81,2.81,-0.75,-0.14,0.05,0.06,129.87,-73.81,127.87,1.44,1.44,0.94,5,7
1772397822.182546,7580412,0.09,0.13,-0.05,-166.62,-70.31,254.50,2.56,1.19,-1.50,0.02,-0.07,-0.04,129.94,-73.87,127.87,-0.62,-1.19,0.94,5,7
1772397822.222744,7580453,0.14,0.10,0.01,-166.87,-70.31,254.37,3.56,0.69,-0.94,0.04,0.03,-0.21,129.94,-73.87,127.81,0.44,-0.50,0.31,5,6
1772397822.263611,7580493,0.13,0.12,0.03,-167.19,-70.31,254.69,6.50,-1.44,-2.56,0.09,0.07,-0.26,130.00,-73.87,127.81,-0.13,-0.75,0.13,4,6
1772397822.303264,7580533,0.10,0.03,0.08,-167.75,-70.44,254.94,8.50,-2.69,-2.94,0.13,0.00,-0.26,130.12,-73.81,127.81,1.87,-0.31,-0.13,4,6
1772397822.343725,7580573,0.17,-0.03,0.09,-168.37,-70.56,255.56,10.06,-2.62,-2.44,0.11,-0.03,-0.17,130.19,-73.75,127.94,3.44,1.31,-0.75,4,5
1772397822.382736,7580612,0.08,-0.13,0.06,-168.87,-70.69,256.19,9.38,-4.25,-1.50,0.01,-0.07,-0.07,130.06,-73.75,128.12,1.00,0.25,-1.00,4,5
1772397822.422223,7580651,0.01,-0.15,-0.02,-169.19,-70.94,256.62,6.44,-5.19,-1.19,0.04,-0.06,-0.04,129.94,-73.69,128.19,-0.37,-0.19,-1.37,4,5
1772397822.463429,7580693,-0.04,-0.16,-0.04,-169.44,-71.12,256.94,3.12,-4.56,-1.19,0.00,-0.03,0.05,129.87,-73.62,128.19,-1.69,-0.13,-1.44,5,5
1772397822.504017,7580733,-0.05,-0.12,-0.04,-169.50,-71.25,256.87,-0.81,-2.94,-0.06,-0.01,-0.03,0.09,129.81,-73.56,128.12,-1.56,0.06,-1.00,5,5
1772397822.544170,7580773,-0.08,0.00,-0.06,-169.31,-71.31,256.56,-3.25,-0.88,1.06,-0.04,0.03,0.05,129.81,-73.56,128.06,-2.25,-0.62,-0.75,5,5
1772397822.583270,7580813,-0.01,0.06,-0.08,-169.06,-71.25,256.31,-3.69,1.50,0.94,-0.07,0.02,0.04,129.81,-73.56,128.00,-2.06,-0.56,-0.31,5,5
1772397822.623231,7580853,0.03,0.12,-0.15,-168.94,-71.19,256.00,-3.19,2.12,0.62,-0.05,0.04,-0.02,129.87,-73.56,127.94,-0.62,0.13,-0.13,5,5
1772397822.664221,7580894,0.07,0.18,-0.10,-168.75,-71.06,255.81,-1.25,2.00,0.56,-0.01,0.00,-0.04,129.94,-73.56,127.87,-0.50,0.37,-0.19,5,5
1772397822.704385,7580934,0.12,0.06,-0.01,-168.62,-71.00,255.62,0.81,1.25,1.25,0.08,-0.04,-0.06,129.87,-73.56,127.87,0.00,-0.25,-0.50,5,5
1772397822.744842,7580974,0.08,0.04,0.01,-168.50,-70.94,255.62,1.06,0.50,1.81,0.06,-0.10,-0.07,129.94,-73.56,127.94,-0.19,-0.31,-0.31,5,5
1772397822.784934,7581015,0.09,0.02,0.02,-168.37,-70.94,255.62,0.19,0.00,0.88,0.07,-0.10,-0.09,129.94,-73.56,127.94,-0.19,0.56,-0.25,4,5
1772397822.825572,7581055,0.10,0.09,0.03,-168.37,-70.94,255.44,-0.50,-0.94,-0.25,0.05,-0.07,-0.09,129.94,-73.56,127.94,-0.75,0.25,-0.25,4,4
1772397822.865981,7581096,0.00,0.12,0.00,-168.50,-71.00,255.50,1.19,-1.87,-3.87,0.05,-0.02,-0.14,129.94,-73.50,127.94,-1.06,0.19,-0.81,2,4
1772397822.905950,7581136,-0.14,0.09,0.05,-169.19,-71.12,255.75,1.31,-0.62,-6.37,0.03,-0.02,-0.08,129.94,-73.50,127.94,0.25,0.69,-0.37,2,3
1772397822.945971,7581176,-0.11,0.18,0.16,-169.69,-71.12,255.87,2.69,2.31,-3.19,0.02,-0.07,-0.07,129.94,-73.50,128.00,0.81,-0.13,0.25,2,2
1772397822.984983,7581215,-0.11,0.11,0.08,-169.94,-71.00,256.12,5.81,3.37,0.37,0.06,-0.10,-0.08,129.87,-73.50,127.94,0.75,-2.00,1.62,2,2
1772397823.023984,7581254,-0.06,0.09,0.06,-170.12,-70.87,256.19,6.69,5.19,1.25,0.00,-0.05,-0.04,129.81,-73.62,127.87,0.94,-2.00,2.31,2,2
1772397823.065229,7581295,-0.11,0.06,0.04,-170.37,-70.62,256.44,6.69,6.81,0.81,0.03,0.00,0.00,129.81,-73.81,127.75,-0.37,-3.62,3.56,2,2
1772397823.106063,7581336,-0.01,0.03,0.04,-170.75,-70.31,256.75,6.50,9.81,-0.06,-0.01,0.00,-0.07,129.75,-74.00,127.56,-1.12,-3.75,3.06,2,1
1772397823.146166,7581376,0.03,0.01,0.00,-171.19,-69.87,257.06,5.56,10.88,-0.62,0.04,-0.06,-0.09,129.75,-74.12,127.44,0.37,-3.12,3.31,2,1
1772397823.185740,7581415,0.20,-0.04,-0.03,-171.56,-69.44,257.31,4.62,10.81,-0.37,0.07,-0.09,-0.12,129.69,-74.31,127.31,0.94,-2.37,2.87,2,1
1772397823.224425,7581454,0.13,0.00,-0.02,-171.87,-69.12,257.50,3.44,8.38,0.13,0.02,-0.13,-0.06,129.62,-74.44,127.19,0.37,-3.19,2.56,4,1
1772397823.266035,7581496,0.08,-0.03,-0.05,-172.06,-68.81,257.56,2.25,7.62,0.44,0.05,-0.04,-0.09,129.50,-74.56,127.06,-0.62,-3.50,2.87,4,2
1772397823.306608,7581536,0.03,0.06,-0.06,-172.19,-68.50,257.56,1.12,7.75,1.25,-0.06,0.00,-0.03,129.44,-74.75,126.87,-0.06,-3.31,3.31,3,2
1772397823.346733,7581577,0.12,0.07,-0.06,-172.19,-68.19,257.56,1.25,7.87,0.81,0.00,0.04,0.00,129.37,-74.94,126.75,-0.31,-3.25,3.44,3,2
1772397823.386169,7581616,0.10,0.09,-0.12,-172.31,-67.87,257.62,1.44,7.44,0.25,-0.06,0.07,-0.08,129.31,-75.12,126.56,0.06,-3.37,4.00,3,2
1772397823.425080,7581655,0.14,0.09,-0.10,-172.44,-67.56,257.69,2.44,6.50,-0.62,0.02,-0.01,-0.09,129.31,-75.31,126.37,0.44,-3.12,3.00,3,2
1772397823.467020,7581697,0.12,0.00,-0.11,-172.69,-67.37,257.81,3.19,4.87,-0.37,-0.08,-0.03,0.04,129.19,-75.50,126.25,-0.62,-4.00,2.81,3,2
1772397823.507419,7581737,0.16,0.01,-0.09,-172.75,-67.19,257.94,2.81,4.12,1.12,0.05,-0.03,-0.04,129.00,-75.69,126.06,0.81,-3.06,2.94,3,2
1772397823.547715,7581778,0.20,0.01,-0.15,-172.75,-67.00,257.94,0.88,2.25,1.62,0.01,-0.05,-0.06,128.94,-75.81,126.00,0.62,-1.44,2.25,3,2
1772397823.587110,7581817,0.23,0.04,-0.11,-172.62,-66.94,257.87,0.06,-0.13,1.19,0.02,-0.02,-0.01,128.94,-75.87,125.94,0.00,-1.56,1.62,3,2
1772397823.627629,7581857,0.18,0.06,-0.14,-172.50,-67.00,257.81,-1.00,-2.25,0.75,0.00,0.02,-0.01,128.94,-75.94,125.87,0.19,-0.44,0.75,2,2
1772397823.668383,7581898,0.17,0.08,-0.11,-172.37,-67.06,257.75,-1.06,-3.75,0.31,0.00,-0.01,-0.06,129.00,-75.94,125.87,0.13,-0.37,0.44,2,2
1772397823.708794,7581938,0.12,0.06,-0.08,-172.25,-67.25,257.69,-0.81,-4.75,0.62,0.02,-0.01,-0.09,129.00,-75.94,125.87,0.06,-0.13,0.13,3,2
1772397823.748969,7581979,0.08,0.07,-0.06,-172.12,-67.44,257.62,-0.56,-5.56,0.44,0.02,-0.01,-0.01,129.00,-75.94,125.87,0.37,0.19,-0.31,3,2
1772397823.789222,7582019,0.17,0.05,-0.10,-172.06,-67.62,257.62,-0.75,-7.56,-1.87,0.01,-0.01,-0.07,129.00,-75.94,125.87,1.31,1.00,-0.37,3,2
1772397823.829936,7582059,0.00,0.06,-0.01,-172.12,-67.94,257.62,-2.44,-8.38,-3.25,0.05,-0.01,0.00,129.19,-75.87,125.94,-0.19,-0.25,-0.50,3,2
1772397823.870533,7582100,-0.12,0.12,0.07,-172.12,-68.25,257.62,-0.25,-6.31,-0.50,-0.02,-0.01,0.00,129.12,-75.87,125.94,-0.81,0.56,-0.50,4,3
1772397823.910144,7582140,-0.06,0.08,0.08,-172.00,-68.44,257.62,2.19,-4.37,1.62,0.03,-0.02,-0.05,129.19,-75.87,125.94,-0.56,0.44,-0.37,4,3
1772397823.950085,7582180,-0.02,0.04,0.05,-171.87,-68.56,257.69,1.94,-2.50,0.94,-0.06,-0.04,-0.09,129.25,-75.87,125.94,1.56,2.56,-0.31,4,6
1772397823.990149,7582220,0.01,0.04,0.05,-171.87,-68.69,257.75,0.88,-2.44,-0.37,0.04,-0.05,-0.07,129.31,-75.87,126.00,0.19,0.81,-0.31,5,6
1772397824.030762,7582260,0.00,0.04,0.03,-171.87,-68.75,257.81,0.88,-1.31,-0.25,0.04,-0.06,-0.09,129.37,-75.87,126.00,-0.06,0.81,-0.56,6,6
1772397824.071558,7582301,0.03,0.05,0.00,-171.87,-68.75,257.81,1.12,-0.50,0.06,0.09,-0.10,-0.09,129.50,-75.75,126.06,-0.19,1.37,-1.12,6,6
1772397824.111863,7582341,0.05,0.03,0.01,-171.94,-68.75,257.87,1.19,-0.69,-0.31,0.00,-0.12,-0.15,129.50,-75.69,126.12,-0.13,1.62,-2.06,6,7
1772397824.151344,7582381,0.11,0.00,0.06,-171.94,-68.81,257.69,0.75,-2.12,-0.37,0.10,-0.11,-0.15,129.50,-75.56,126.19,-1.12,0.88,-1.81,6,7
1772397824.190812,7582420,0.03,-0.05,0.06,-171.87,-68.94,257.69,-0.19,-2.69,-0.06,0.07,-0.07,-0.04,129.44,-75.50,126.19,-1.00,0.31,-1.62,6,7
1772397824.231005,7582461,-0.02,0.03,0.02,-171.81,-69.00,257.62,-1.62,-2.06,0.75,0.03,0.01,0.01,129.31,-75.44,126.25,-0.56,-0.25,-1.19,6,7
1772397824.271967,7582502,-0.05,0.07,-0.03,-171.69,-69.06,257.50,-2.06,-0.06,0.37,-0.03,0.01,0.02,129.19,-75.44,126.25,-1.00,0.13,-1.25,6,7
1772397824.311988,7582541,-0.08,0.05,-0.07,-171.56,-69.00,257.37,-2.69,1.12,-0.56,-0.03,0.00,0.06,129.19,-75.37,126.25,-1.81,-0.81,-0.81,5,7
1772397824.351964,7582581,-0.04,0.06,-0.06,-171.56,-68.94,257.25,-2.81,3.19,-0.69,-0.02,0.00,0.02,129.19,-75.37,126.19,-0.88,-0.31,-0.25,5,5
1772397824.391973,7582622,0.04,0.11,-0.09,-171.50,-68.75,257.06,-2.56,4.06,0.06,-0.04,0.04,0.02,129.19,-75.37,126.19,-0.31,-0.31,0.19,5,5
1772397824.432212,7582662,0.12,0.07,-0.14,-171.50,-68.56,256.94,-0.88,4.81,0.06,0.00,0.00,-0.02,129.19,-75.37,126.19,-0.25,-0.06,-0.13,5,5
1772397824.473041,7582703,0.15,0.07,-0.12,-171.50,-68.37,256.87,-0.25,3.50,-0.13,0.00,0.03,-0.03,129.25,-75.37,126.12,-0.94,0.06,0.81,5,4
1772397824.512983,7582743,0.16,0.08,-0.13,-171.62,-68.25,256.87,0.06,2.81,-1.19,0.01,0.01,-0.09,129.37,-75.37,126.12,-0.56,1.44,0.56,4,4
1772397824.552823,7582782,0.33,0.06,-0.04,-171.75,-68.19,256.94,1.25,0.75,-1.75,0.15,-0.11,-0.29,129.50,-75.37,126.12,1.00,2.56,-0.69,4,4
1772397824.591929,7582822,0.35,0.05,0.00,-171.87,-68.19,257.06,2.44,-3.56,-0.19,0.15,-0.09,-0.23,129.75,-75.19,126.25,1.94,2.37,-1.06,5,5
1772397824.632101,7582862,0.04,0.05,0.01,-171.81,-68.44,257.25,3.25,-8.25,1.00,-0.01,-0.04,-0.13,129.94,-75.12,126.44,1.19,1.62,-0.50,5,5
1772397824.673300,7582903,-0.19,0.01,0.08,-171.81,-68.81,257.44,3.75,-8.00,0.44,-0.03,0.00,-0.02,130.06,-75.06,126.50,1.06,1.12,-0.75,5,7
1772397824.713617,7582943,-0.09,-0.02,0.15,-171.87,-69.00,257.69,3.44,-4.69,0.25,0.06,-0.04,-0.10,130.12,-75.00,126.56,1.81,2.06,-1.19,5,6
1772397824.753539,7582983,-0.04,-0.02,0.14,-171.94,-69.19,257.87,3.12,-3.31,0.62,0.09,-0.04,-0.10,130.19,-74.94,126.75,1.31,1.44,-1.00,5,6
1772397824.792711,7583022,-0.07,0.00,0.12,-171.94,-69.25,258.00,1.94,-2.12,0.81,0.00,-0.06,-0.06,130.25,-74.87,126.81,1.75,1.19,-0.50,5,6
1772397824.831649,7583061,-0.19,0.18,0.21,-171.94,-69.31,258.12,3.06,0.00,-0.13,0.00,-0.01,0.03,130.19,-74.81,126.94,1.31,1.06,-1.44,5,6
1772397824.872970,7583103,-0.16,0.14,0.10,-172.06,-69.31,258.37,6.50,4.00,-0.13,0.04,0.05,-0.03,130.06,-74.75,127.00,-0.31,-0.56,-0.31,5,6
1772397824.913955,7583143,0.06,-0.05,-0.03,-172.50,-69.06,258.75,7.12,6.87,-1.69,-0.02,-0.12,-0.09,129.94,-74.75,127.00,-1.12,-2.19,-0.94,5,6
1772397824.954008,7583183,0.19,-0.17,-0.01,-173.00,-68.87,259.12,3.87,5.50,-1.94,0.10,-0.18,-0.12,129.62,-74.75,127.00,-0.25,-1.87,-0.94,6,6
1772397824.992804,7583223,0.20,-0.06,-0.03,-173.19,-68.69,259.25,-0.56,2.94,-0.13,0.11,-0.14,0.00,129.37,-74.75,127.06,0.13,-1.50,0.69,6,6
1772397825.033135,7583263,0.13,0.06,-0.06,-173.06,-68.62,259.06,-2.81,1.56,1.00,0.01,-0.12,-0.05,129.25,-74.75,127.06,-0.44,-0.69,0.19,5,6
1772397825.074034,7583304,0.04,0.15,-0.01,-172.75,-68.56,258.81,-3.75,-0.19,1.81,0.05,-0.10,-0.06,129.12,-74.81,127.06,0.06,-1.12,0.75,5,4
1772397825.114275,7583344,-0.09,0.22,0.00,-172.37,-68.56,258.50,-2.75,-0.31,1.94,-0.07,0.10,0.05,129.12,-74.87,127.00,0.75,-1.37,2.00,5,3
1772397825.154360,7583384,-0.19,0.19,-0.01,-172.19,-68.50,258.37,0.81,2.37,0.50,-0.09,0.02,0.10,129.12,-75.00,126.94,0.56,-1.69,2.06,5,3
1772397825.193683,7583423,0.00,0.06,-0.08,-172.31,-68.31,258.50,3.06,6.06,0.13,-0.04,-0.03,0.00,129.12,-75.12,126.81,-0.50,-1.62,2.50,5,4
1772397825.233236,7583463,0.25,-0.03,-0.10,-172.50,-68.06,258.62,1.87,5.31,-0.06,0.09,-0.01,-0.09,129.25,-75.19,126.69,0.44,-0.69,2.50,5,4
1772397825.274375,7583504,0.34,0.03,-0.07,-172.56,-67.94,258.62,0.25,2.12,-0.37,0.14,-0.05,-0.12,129.44,-75.25,126.69,1.25,-0.06,2.12,5,4
1772397825.315334,7583545,0.13,0.07,-0.02,-172.56,-67.94,258.62,0.50,-0.94,-0.25,0.06,-0.03,-0.13,129.62,-75.31,126.62,-0.25,-0.75,1.62,4,4
1772397825.355257,7583585,0.01,0.00,0.02,-172.56,-68.00,258.69,1.87,-2.12,0.13,0.03,0.00,-0.12,129.69,-75.37,126.56,-0.31,-0.56,1.06,4,4
1772397825.395663,7583625,-0.05,0.01,0.03,-172.62,-68.06,258.81,1.75,-2.19,0.37,-0.03,0.05,-0.03,129.81,-75.37,126.50,0.37,-1.06,1.44,4,4
1772397825.435968,7583665,-0.07,-0.05,0.06,-172.69,-68.12,258.94,2.12,-0.69,-0.37,0.03,0.02,0.01,129.75,-75.50,126.44,-0.88,-1.62,1.31,5,4
1772397825.476858,7583706,-0.01,-0.04,0.00,-172.81,-68.12,259.06,1.50,1.50,-0.69,0.01,0.12,-0.22,129.87,-75.50,126.31,-0.25,-0.13,1.87,5,4
1772397825.516541,7583747,0.15,0.04,0.06,-173.06,-68.06,259.19,1.69,0.00,-2.19,0.10,0.08,-0.22,130.19,-75.56,126.25,2.50,-0.44,1.69,5,4
1772397825.556654,7583786,0.06,0.10,0.04,-173.31,-68.12,259.44,4.19,-1.56,-1.31,0.02,0.13,-0.06,130.44,-75.62,126.31,4.25,-1.25,2.69,4,4
1772397825.595880,7583826,-0.13,0.07,-0.05,-173.56,-68.19,259.81,7.56,-0.75,0.13,-0.10,0.08,-0.01,130.37,-75.69,126.44,5.25,0.06,1.75,3,4
1772397825.634726,7583865,-0.02,-0.03,-0.06,-173.87,-68.19,260.31,10.00,0.50,0.19,-0.03,0.02,0.00,130.31,-75.75,126.62,6.00,0.06,0.69,3,3
1772397825.675896,7583906,0.01,-0.11,-0.07,-174.12,-68.12,260.81,9.06,0.75,2.69,0.00,0.03,0.04,130.12,-75.75,126.87,6.69,0.31,1.69,3,3
1772397825.716324,7583946,-0.01,-0.08,0.01,-174.19,-68.06,261.19,8.00,1.94,2.31,0.03,0.06,0.03,130.12,-75.81,127.12,6.62,1.00,2.44,3,2
1772397825.756768,7583987,0.07,-0.06,-0.08,-174.44,-67.94,261.56,6.19,3.69,0.50,0.01,0.01,-0.01,130.25,-75.87,127.31,6.37,1.81,2.00,3,2
